update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
20,40960,2416.1111093297195,16,0.9165562912328353,0.07988440114651393,0.699999988079071,1.0,13.039735099337749,4.305980431852485,6.0,26.0,0.9818974286317825,0.8984919860959053,0.0061339359963312745,0.003958483866881579,0.1302575,0.9165562912328353,0.07988440114651393,0.699999988079071,1.0
21,43008,2430.4878278035776,17,0.9340000006130763,0.07874733083617516,0.699999988079071,1.0,11.954285714285714,4.511340811595522,6.0,31.0,0.9311398714780807,0.9154027625918388,-0.02963735442608595,0.0022158481733640656,0.111996725,0.9340000006130763,0.07874733083617516,0.699999988079071,1.0
22,45056,2477.2359580891166,18,0.9452380953090531,0.06991450358449605,0.75,1.0,11.845238095238095,4.276163299309123,6.0,31.0,0.9437944665551186,0.9130553230643272,-0.0020415121980477124,0.0027678194746840745,0.098884806,0.9452380953090531,0.06991450358449605,0.75,1.0
23,47104,2432.8006880998323,19,0.936309522106534,0.07494092246861812,0.6499999761581421,1.0,12.345238095238095,5.24403072804155,6.0,53.0,0.9313345849514008,0.90792615711689,-0.008905353519367054,0.003200119623215869,0.110614434,0.936309522106534,0.07494092246861812,0.6499999761581421,1.0
24,49152,2529.3913961168982,20,0.9521341447423144,0.06991950925727596,0.699999988079071,1.0,12.689024390243903,4.633612774161058,6.0,33.0,0.8892544358968735,0.9157815203070641,-0.012798352516256273,0.002530916390242055,0.092997596,0.9521341447423144,0.06991950925727596,0.699999988079071,1.0
25,51200,2463.0989955411546,20,0.9554140112202638,0.06349171317434907,0.75,1.0,12.92356687898089,4.016750598001612,6.0,26.0,0.8991127610206604,0.9190689474344254,0.003844114617095329,0.0021589019161183387,0.10867585,0.9554140112202638,0.06349171317434907,0.75,1.0
26,53248,2457.8421332286475,21,0.9589820322162377,0.061005886540848896,0.699999988079071,1.0,12.520958083832335,3.6817047654964083,6.0,23.0,0.8629859834909439,0.9173352494835854,-0.01610020746011287,0.002311565665877424,0.07583614,0.9589820322162377,0.061005886540848896,0.699999988079071,1.0
27,55296,2530.5515884413894,22,0.9606249973177909,0.06159025290728329,0.699999988079071,1.0,12.6625,4.086391286942551,7.0,29.0,0.8691662177443504,0.919134259223938,-0.005320545344147831,0.002190742321545258,0.08634068,0.9606249973177909,0.06159025290728329,0.699999988079071,1.0
28,57344,2414.4031606155286,23,0.9658682614029525,0.05335729020742303,0.75,1.0,12.2874251497006,3.816293145205952,7.0,34.0,0.8941000327467918,0.9208535999059677,-0.004675872562074801,0.002013208737480454,0.08014558,0.9658682614029525,0.05335729020742303,0.75,1.0
29,59392,2441.4036193871093,24,0.973142853804997,0.04399814542266212,0.800000011920929,1.0,11.531428571428572,3.2209822307197293,7.0,25.0,0.8271829038858414,0.933784119784832,-0.012668486451730132,0.001140207408752758,0.082307875,0.973142853804997,0.04399814542266212,0.800000011920929,1.0
30,61440,2467.167492652294,25,0.9663793064396957,0.045852020947856655,0.800000011920929,1.0,11.908045977011493,3.262930718150377,8.0,24.0,0.8718739598989487,0.9293359741568565,-0.0003196841571480036,0.001282557292142883,0.07544899,0.9663793064396957,0.045852020947856655,0.800000011920929,1.0
31,63488,2479.8913897457587,25,0.9644808691056048,0.05377171638009498,0.699999988079071,1.0,11.12568306010929,3.153720406485227,7.0,28.0,0.8349842131137848,0.9309068322181702,0.0007505829235014971,0.0018455485696904361,0.13389786,0.9644808691056048,0.05377171638009498,0.699999988079071,1.0
32,65536,2453.7398227580816,26,0.9519512161975954,0.05840228193607984,0.699999988079071,1.0,10.146341463414634,2.2037769752344425,6.0,20.0,0.7962231859564781,0.9332390576601028,-0.007192837656475604,0.0012500269076554105,0.05825712,0.9519512161975954,0.05840228193607984,0.699999988079071,1.0
33,67584,2352.469616760885,27,0.9765193343821151,0.03952110991862611,0.8500000238418579,1.0,11.281767955801104,2.9607280669603857,7.0,23.0,0.8345666155219078,0.9397230967879295,-0.0013903605771474759,0.0007583742044516839,0.08137041,0.9765193343821151,0.03952110991862611,0.8500000238418579,1.0
34,69632,2528.1839001433336,28,0.9759886961872295,0.050447269804204095,0.4999999403953552,1.0,11.480225988700566,3.1997358568245726,8.0,27.0,0.8419746905565262,0.9348821640014648,0.005992080201394856,0.00167398875055369,0.100256205,0.9759886961872295,0.050447269804204095,0.4999999403953552,1.0
35,71680,2444.004303073636,29,0.9718579197190499,0.05135158771811602,0.5999999642372131,1.0,11.098360655737705,2.893585810478935,7.0,24.0,0.789389967918396,0.9311704039573669,-0.0028814201650675386,0.0016796022973721847,0.099451125,0.9718579197190499,0.05135158771811602,0.5999999642372131,1.0
36,73728,2488.320041528321,30,0.9820855591386397,0.04087849883335808,0.6499999761581421,1.0,11.02139037433155,3.4702050660658452,6.0,34.0,0.7533131539821625,0.9387570023536682,-0.002669845867785625,0.0012514628615463153,0.051674586,0.9820855591386397,0.04087849883335808,0.6499999761581421,1.0
37,75776,2453.4328591136155,30,0.9823529385627909,0.03669244404602632,0.800000011920929,1.0,11.176470588235293,2.9115081181171765,8.0,25.0,0.7927456423640251,0.9379870966076851,0.0005157342820893973,0.0008240900715463795,0.07579117,0.9823529385627909,0.03669244404602632,0.800000011920929,1.0
38,77824,2465.996715807073,31,0.9845505591188923,0.03475549325513326,0.75,1.0,11.370786516853933,3.1062894605705877,8.0,33.0,0.7764893174171448,0.941665343940258,0.0016139554645633325,0.0011754235965781845,0.082056545,0.9845505591188923,0.03475549325513326,0.75,1.0
39,79872,2508.3909358501146,32,0.989095742715166,0.026811626951069964,0.8500000238418579,1.0,10.904255319148936,2.8268061405212648,8.0,24.0,0.763184979557991,0.9423603788018227,-0.007734761922620237,0.0006946046050870791,0.058547094,0.989095742715166,0.026811626951069964,0.8500000238418579,1.0
40,81920,2394.6658459507257,33,0.9879032238837211,0.03281442447764682,0.75,1.0,10.96774193548387,2.7550603018329816,8.0,25.0,0.7386652082204819,0.9392895177006721,-0.00485306276823394,0.0010234728033537976,0.079751804,0.9879032238837211,0.03281442447764682,0.75,1.0
